y,kappa_y,r_ab_y
-4.0,-0.35667174968159043,0.7000022359835705
-3.99,-0.3566716482855412,0.7000023069610353
-3.98,-0.3566715436708719,0.700002380191549
-3.97,-0.3566714357354147,0.70000245574663
-3.96,-0.356671324373759,0.7000025337000668
-3.95,-0.3566712094771482,0.7000026141279901
-3.94,-0.35667109093337357,0.7000026971089471
-3.93,-0.35667096862666475,0.7000027827239784
-3.92,-0.35667084243757646,0.700002871056697
-3.91,-0.3566707122428722,0.7000029621933697
-3.9,-0.3566705779154035,0.700003056223002
-3.89,-0.3566704393239864,0.7000031532374242
-3.88,-0.35667029633327246,0.700003253331382
-3.87,-0.3566701488036175,0.700003356602628
-3.86,-0.35666999659094467,0.7000034631520181
-3.85,-0.3566698395466038,0.7000035730836092
-3.84,-0.3566696775172266,0.7000036865047614
-3.83,-0.3566695103445766,0.7000038035262425
-3.82,-0.3566693378653948,0.7000039242623362
-3.81,-0.3566691599112398,0.700004048830954
-3.8,-0.3566689763083243,0.7000041773537501
-3.79,-0.3566687868773443,0.70000430995624
-3.78,-0.35666859143330504,0.7000044467679232
-3.77,-0.3566683897853393,0.70000458792241
-3.76,-0.35666818173652215,0.7000047335575518
-3.75,-0.3566679670836778,0.700004883815575
-3.74,-0.35666774561718184,0.700005038843221
-3.73,-0.3566675171207559,0.7000051987918887
-3.7199999999999998,-0.35666728137125725,0.7000053638177829
-3.71,-0.35666703813846035,0.7000055340820661
-3.7,-0.35666678718483236,0.7000057097510165
-3.69,-0.3566665282653011,0.7000058909961903
-3.68,-0.35666626112701594,0.7000060779945885
-3.67,-0.35666598550910056,0.700006270928831
-3.66,-0.35666570114239887,0.7000064699873338
-3.65,-0.35666540774921157,0.7000066753644932
-3.64,-0.35666510504302557,0.7000068872608762
-3.63,-0.3566647927282338,0.7000071058834156
-3.62,-0.3566644704998471,0.7000073314456123
-3.61,-0.35666413804319635,0.7000075641677439
-3.6,-0.3566637950336247,0.7000078042770799
-3.59,-0.35666344113617143,0.7000080520081029
-3.58,-0.3566630760052447,0.7000083076027384
-3.57,-0.35666269928428407,0.7000085713105901
-3.56,-0.3566623106054122,0.7000088433891848
-3.55,-0.3566619095890764,0.7000091241042224
-3.54,-0.35666149584367746,0.7000094137298367
-3.53,-0.3566610689651878,0.7000097125488617
-3.52,-0.356660628536757,0.7000100208531088
-3.51,-0.35666017412830475,0.7000103389436513
-3.5,-0.3566597052961012,0.7000106671311179
-3.49,-0.3566592215823339,0.7000110057359967
-3.48,-0.3566587225146609,0.7000113550889476
-3.4699999999999998,-0.3566582076057496,0.7000117155311252
-3.46,-0.3566576763528012,0.7000120874145117
-3.45,-0.35665712823706,0.7000124711022611
-3.44,-0.35665656272330715,0.7000128669690525
-3.4299999999999997,-0.3566559792593382,0.7000132754014574
-3.42,-0.35665537727542396,0.7000136967983158
-3.41,-0.35665475618375525,0.7000141315711259
-3.4,-0.35665411537786834,0.7000145801444461
-3.39,-0.35665345423205375,0.7000150429563088
-3.38,-0.3566527721007453,0.7000155204586489
-3.37,-0.35665206831789054,0.7000160131177436
-3.36,-0.35665134219630035,0.7000165214146687
-3.35,-0.3566505930269787,0.7000170458457676
-3.34,-0.356649820078431,0.7000175869231358
-3.33,-0.3566490225959499,0.7000181451751204
-3.32,-0.3566481998008795,0.7000187211468364
-3.31,-0.35664735088985516,0.7000193154006982
-3.3,-0.35664647503402014,0.7000199285169687
-3.29,-0.3566455713782166,0.7000205610943255
-3.2800000000000002,-0.3566446390401518,0.700021213750445
-3.27,-0.3566436771095369,0.7000218871226055
